message,subject,intent,issue
Please take action against the vendors or installation technician if they don't work,,Installation/demo,Installation/demo - Please take action against the vendors or installation technician if they don't work 
Good,,Not Needed,Not Needed - Good 
Poor service,,Order status enquiry,Order status enquiry - Poor service
Very good ??,,Return request,Return request - Very good ??
Junk support people Does not understand the problem and just close the ticket or resolve without any resolution.,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Junk support people Does not understand the problem and just close the ticket or resolve without any
Good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good
Nice consultant big help,,Product Specific Information,Product Specific Information - Nice consultant big help
"It takes to much time to resolve queries, take little time to solve queries.",,Return request,"Return request - It takes to much time to resolve queries, take little time to solve queries."
Educate delivery executive to be polite and professional.,,UnProfessional Behaviour,UnProfessional Behaviour - Educate delivery executive to be polite and professional.
", wasting of time & money & technical issues etc??",,Reverse Pickup Enquiry,"Reverse Pickup Enquiry -   , wasting of time & money & technical issues etc??"
Very bad experience with Shopzilla item delivered is wrong and denied to exchange,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Very bad experience with Shopzilla item delivered is wrong and denied to exchange 
"Very bad service Shopzilla, don't bye this product, my personally experience very bad Shopzilla customer care service and, payment refund service. You guys can take review from me before buying from Shopzilla.  I am putting my mobile number in the comment box.",,Reverse Pickup Enquiry,"Reverse Pickup Enquiry - Very bad service Shopzilla, don't bye this product, my personally experience very bad Shopzilla cust"
Good,,Delayed,Delayed - Good 
Nice,,Technician Visit,Technician Visit - Nice
customer care adviser is good,,UnProfessional Behaviour,UnProfessional Behaviour - customer care adviser is good 
Quality issue,,Online Payment Issues,Online Payment Issues - Quality issue 
Very good information,,Delayed,Delayed - Very good information
Your delivery system very poor,,Delayed,Delayed - Your delivery system very poor 
Process to register grievance is very complicated. A direct no. Of customer care should be given .,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Process to register grievance is very complicated. A direct no. Of customer care should be given .
Thanks,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Thanks
Reduce the time of delivery,,Customer Requested Modifications,Customer Requested Modifications - Reduce the time of delivery
No,,Delayed,Delayed - No
Nice garding ????,,Not Needed,Not Needed - Nice garding ????
All fine,,Refund Enquiry,Refund Enquiry - All fine
Good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good 
Thanks I am happy for costumer support,,Return request,Return request - Thanks I am happy for costumer support 
Very good,,Fraudulent User,Fraudulent User - Very good 
Ji mere se inhone   baat,,Refund Related Issues,Refund Related Issues - Ji mere se inhone   baat  
Good,,Missing,Missing - Good 
Excellent,,Missing,Missing - Excellent
Good service executive,,Return request,Return request - Good service executive 
Pls soul my problem,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Pls soul my problem 
I am happy your customer exituive,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - I am happy your customer exituive 
Good work,,UnProfessional Behaviour,UnProfessional Behaviour - Good work 
Customer care support satisfy but delivery person are not okay,,Fraudulent User,Fraudulent User - Customer care support satisfy but delivery person are not okay
"Kindly ensure that customers are informed beforehand regarding open vox delivery. So that when delivery person comes to deliver the product, the customer also check fir itself and donot just take the product",,Return request,Return request - Kindly ensure that customers are informed beforehand regarding open vox delivery. So that when deliv
Very good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Very good
Good,,Fraudulent User,Fraudulent User - Good
Thank you,,Priority delivery,Priority delivery - Thank you 
Good .,,Not Needed,Not Needed - Good .
It is an amazing to part of Shopzilla as a customer.,,Installation/demo,Installation/demo - It is an amazing to part of Shopzilla as a customer. 
Thank,,Signup Issues,Signup Issues - Thank 
Bat kr ke bahut achha lga,,Order Verification,Order Verification - Bat kr ke bahut achha lga
Greet ????????,,Wrong,Wrong - Greet ????????
Well & good Mam,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Well & good Mam
Good,,Not Needed,Not Needed - Good
Best,,Order status enquiry,Order status enquiry - Best
Customer care number do apna,,Delayed,Delayed - Customer care number do apna 
service is good,,Delayed,Delayed -   service is good 
Worst customer care does not help to the actual problem,,Delayed,Delayed - Worst customer care does not help to the actual problem 
Very good,,Order status enquiry,Order status enquiry - Very good
Shopzilla is very poor service..,,General Enquiry,General Enquiry - Shopzilla is very poor service..
Slow service of Shopzilla.,,Seller Cancelled Order,Seller Cancelled Order - Slow service of Shopzilla.
Bvm,,Account updation,Account updation - Bvm
Good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good 
So happy,,Product Specific Information,Product Specific Information - So happy
Please show customer support numbers so that we can connect fast,,Return request,Return request - Please show customer support numbers so that we can connect fast
Plz check his call recording,,Wrong,Wrong - Plz check his call recording 
Very good,,Wrong,Wrong - Very good 
Thank you .sir,,UnProfessional Behaviour,UnProfessional Behaviour - Thank you .sir 
?? good job,,Installation/demo,Installation/demo - ?? good job
Good,,Online Payment Issues,Online Payment Issues - Good 
Nice,,Return request,Return request - Nice 
Please keep a check on  delivery  person,,Return request,Return request - Please keep a check on  delivery  person 
Thanks a lot ??,,Return request,Return request - Thanks a lot ??
Good,,General Enquiry,General Enquiry - Good 
Connect time less,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Connect time less
Please return my money and take this product,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Please return my money and take this product
Please resolve my issues.. And it will be helpful to reach your customer support without any hassle..,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Please resolve my issues.. And it will be helpful to reach your customer support without any hassle.
Very bad service by Shopzilla and did not help also Shopzilla exicutive.....and he playing the game with customer....Very very bad service....,,Installation/demo,Installation/demo - Very bad service by Shopzilla and did not help also Shopzilla exicutive.....and he playing the game 
Good ??????,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good ??????
Good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good
"I am relieved much after getting connected to talk to the Customer support person. He listened to me, clarified many things with me in respect to my issue. Hope I addressed my issue clearly to him. I am a senior citizen 76 year old.  I was under tension and stress after the Issue was noticed by the Installation team, yesterday. Now I feel my BP is coming slowly to normal. Thanks",,Fraudulent User,Fraudulent User - I am relieved much after getting connected to talk to the Customer support person. He listened to me
Nice,,Fraudulent User,Fraudulent User - Nice
IF EVERYTHING RESOLVED IN TIME THATS IT 5 STAR THANKS...,,Fraudulent User,Fraudulent User - IF EVERYTHING RESOLVED IN TIME THATS IT 5 STAR THANKS...
Please make system of OTP based delivery compulsary.,,Delayed,Delayed - Please make system of OTP based delivery compulsary.
She is a good lady I'm so happy with his support and frendlyness???? i wish my next support call divert to him??,,Order status enquiry,Order status enquiry - She is a good lady I'm so happy with his support and frendlyness???? i wish my next support call div
Good,,Order status enquiry,Order status enquiry - Good 
Thank you sir,,Return request,Return request - Thank you sir 
Shopzilla have lost customer care control no issues is resolved now a days,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Shopzilla have lost customer care control no issues is resolved now a days 
Awesome,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Awesome
Very good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Very good 
Very good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Very good 
Time taken after this not recieve proper resolution,,Product Specific Information,Product Specific Information - Time taken after this not recieve proper resolution 
My issue is not solved by you,,Installation/demo,Installation/demo - My issue is not solved by you 
Fix replacement issue,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Fix replacement issue 
"The biggest problem is that nothing is updated here and even when you call your customer care, they do not know anything.",,Not Needed,"Not Needed - The biggest problem is that nothing is updated here and even when you call your customer care, they "
Overall satisfied,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Overall satisfied 
Customer care ko full Access milna chahiye   vo   hi problem slove kar ske,,General Enquiry,General Enquiry - Customer care ko full Access milna chahiye   vo   hi problem slove kar ske
This was my last order from Shopzilla,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - This was my last order from Shopzilla
Excellent service,,General Enquiry,General Enquiry - Excellent service 
